AgMTO039	 pop_0 	AgermCT004 	345 	345
AgMTO040	 pop_0 	AgermCT004 	345 	345
AgMBM001	 pop_0 	AgermCT004 	345 	345
AgMBM002	 pop_0 	AgermCT004 	345 	345
AgMBM003	 pop_0 	AgermCT004 	345 	345
AgMBM004	 pop_0 	AgermCT004 	345 	345
AgMBM005	 pop_0 	AgermCT004 	345 	345
AgMBM006	 pop_0 	AgermCT004 	345 	345
AgMBM007	 pop_0 	AgermCT004 	345 	345
AgMBM008	 pop_0 	AgermCT004 	345 	345
AgMBM009	 pop_0 	AgermCT004 	345 	345
AgMBM010	 pop_0 	AgermCT004 	345 	345
AgMBM011	 pop_0 	AgermCT004 	345 	345
AgMBM012	 pop_0 	AgermCT004 	345 	345
AgMBM013	 pop_0 	AgermCT004 	345 	345
AgMBM014	 pop_0 	AgermCT004 	345 	345
AgMBM015	 pop_0 	AgermCT004 	345 	345
AgMBM016	 pop_0 	AgermCT004 	345 	345
AgMBM017	 pop_0 	AgermCT004 	345 	345
AgMBM018	 pop_0 	AgermCT004 	345 	345
AgMBM019	 pop_0 	AgermCT004 	345 	345
AgMBM020	 pop_0 	AgermCT004 	345 	345
AgMBM021	 pop_0 	AgermCT004 	345 	345
AgMBM022	 pop_0 	AgermCT004 	345 	345
AgMBM023	 pop_0 	AgermCT004 	345 	345
AgMBM024	 pop_0 	AgermCT004 	345 	345
AgMBM025	 pop_0 	AgermCT004 	345 	345
AgMBM026	 pop_0 	AgermCT004 	345 	345
AgMBM027	 pop_0 	AgermCT004 	345 	345
AgMBM028	 pop_0 	AgermCT004 	345 	345
AgMBM029	 pop_0 	AgermCT004 	345 	345
AgMBM030	 pop_0 	AgermCT004 	345 	345
AgMBM031	 pop_0 	AgermCT004 	345 	345
AgMBM032	 pop_0 	AgermCT004 	345 	345
AgMBM033	 pop_0 	AgermCT004 	345 	345
AgMBM034	 pop_0 	AgermCT004 	345 	345
AgMBM035	 pop_0 	AgermCT004 	345 	345
AgMBM036	 pop_0 	AgermCT004 	345 	345
AgMBM037	 pop_0 	AgermCT004 	345 	345
AgMBM038	 pop_0 	AgermCT004 	345 	345
AgMBM039	 pop_0 	AgermCT004 	345 	345
AgMBM040	 pop_0 	AgermCT004 	345 	349
AgMLA001	 pop_0 	AgermCT004 	0 	0
AgMLA002	 pop_0 	AgermCT004 	345 	345
AgMLA003	 pop_0 	AgermCT004 	0 	0
AgMLA004	 pop_0 	AgermCT004 	0 	0
AgMLA005	 pop_0 	AgermCT004 	0 	0
AgMLA006	 pop_0 	AgermCT004 	0 	0
AgMLA007	 pop_0 	AgermCT004 	0 	0
AgMLA008	 pop_0 	AgermCT004 	0 	0
